"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2013","2013",70,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2014","2014",67,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2016","2016",65,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2017","2017",66,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","FIN","Finland","2018","2018",65,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2000","2000",137,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2001","2001",133,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2002","2002",129,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2003","2003",129,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2004","2004",124,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2005","2005",115,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2006","2006",117,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2007","2007",113,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2008","2008",110,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2009","2009",103,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2010","2010",100,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2011","2011",93,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2012","2012",93,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2013","2013",92,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2014","2014",90,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2015","2015",90,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2016","2016",90,,
"AVDMTRTM","Treatable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","COL","Colombia","2017","2017",88,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2003","2003",62,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2004","2004",57,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2005","2005",56,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2006","2006",54,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2007","2007",54,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2008","2008",52,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2009","2009",53,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2010","2010",50,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2011","2011",51,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2012","2012",50,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2013","2013",49,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2014","2014",47,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2015","2015",48,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2016","2016",46,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ITA","Italy","2017","2017",47,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2000","2000",57,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2001","2001",55,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2002","2002",54,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2003","2003",54,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2004","2004",52,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2005","2005",49,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2006","2006",47,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2007","2007",47,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2008","2008",46,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2009","2009",45,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2010","2010",44,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2011","2011",42,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2012","2012",42,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2013","2013",42,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2014","2014",42,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2015","2015",42,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2016","2016",43,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ESP","Spain","2017","2017",43,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2000","2000",6398,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2001","2001",6551,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2002","2002",6807,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2003","2003",6701,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2004","2004",6743,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2005","2005",7131,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2006","2006",7175,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2007","2007",7198,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2008","2008",6783,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2009","2009",6307,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2010","2010",5975,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2011","2011",5808,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2012","2012",5708,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2013","2013",5563,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2014","2014",5214,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2015","2015",5473,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2016","2016",5247,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2017","2017",4692,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2018","2018",4716,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","LTU","Lithuania","2019","2019",4660,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2000","2000",349,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2001","2001",325,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2002","2002",302,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2003","2003",279,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2004","2004",288,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2005","2005",292,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2006","2006",330,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2007","2007",308,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2008","2008",292,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2009","2009",301,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2010","2010",311,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2011","2011",297,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2012","2012",290,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2013","2013",308,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2014","2014",288,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2015","2015",313,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2016","2016",344,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2017","2017",336,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2018","2018",322,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","ISL","Iceland","2019","2019",300,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2000","2000",6249,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2001","2001",6002,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2002","2002",5984,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2003","2003",5747,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2004","2004",5814,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2005","2005",5489,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2006","2006",5410,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2007","2007",5402,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2008","2008",5513,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2009","2009",5587,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2010","2010",5641,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2011","2011",5597,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2012","2012",5455,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2013","2013",5602,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2014","2014",5405,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2015","2015",5516,,
"AVDMPRVM","Preventable mortality","NBPOPUPC","Number of total deaths","NOR","Norway","2016","2016",5644,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2000","2000",73,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2001","2001",72,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2002","2002",70,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2003","2003",65,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2004","2004",60,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2005","2005",60,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2006","2006",58,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2007","2007",53,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2008","2008",50,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2009","2009",49,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2010","2010",50,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2011","2011",50,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2012","2012",48,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2013","2013",46,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2014","2014",45,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2015","2015",45,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2016","2016",41,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2017","2017",38,,
"AVDMPRVM","Preventable mortality","TXCMFETF","Deaths per 100 000 females (standardised rates)","ISR","Israel","2018","2018",39,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2000","2000",2505,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2001","2001",2405,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2002","2002",2333,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2003","2003",2277,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2004","2004",2229,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2005","2005",2206,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2006","2006",2211,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2007","2007",2173,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2008","2008",2119,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2009","2009",2116,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2010","2010",2094,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2011","2011",2105,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2012","2012",2093,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2013","2013",2098,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2014","2014",2020,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2015","2015",2102,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2016","2016",2128,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2017","2017",2134,,
"AVDMTRTM","Treatable mortality","NBFEMEPF","Number of female deaths","ISR","Israel","2018","2018",2117,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2000","2000",96270,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2001","2001",95370,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2002","2002",97305,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2003","2003",98933,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2004","2004",98074,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2005","2005",100663,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2006","2006",101331,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2007","2007",100927,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2008","2008",110064,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2009","2009",114901,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2010","2010",119617,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2011","2011",120446,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2012","2012",119746,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2013","2013",117240,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2014","2014",117763,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2015","2015",121730,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2016","2016",131841,,
"AVDMPRVM","Preventable mortality","NBMALEPH","Number of male deaths","MEX","Mexico","2017","2017",138809,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2000","2000",182835,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2001","2001",183276,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2002","2002",183219,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2003","2003",184800,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2004","2004",188173,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2005","2005",186956,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2006","2006",192795,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2007","2007",193128,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2008","2008",197535,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2009","2009",202183,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2010","2010",204124,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2011","2011",209473,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2012","2012",209128,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2013","2013",214877,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2014","2014",215715,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2015","2015",221578,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2016","2016",230293,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2017","2017",228600,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2018","2018",231831,,
"AVDMTRTM","Treatable mortality","NBPOPUPC","Number of total deaths","BRA","Brazil","2019","2019",231536,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2000","2000",204,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2001","2001",200,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2002","2002",194,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2003","2003",185,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2004","2004",177,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2005","2005",171,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2006","2006",161,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2007","2007",155,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2008","2008",150,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2009","2009",147,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2010","2010",143,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2011","2011",138,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2012","2012",135,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2013","2013",132,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2014","2014",126,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2015","2015",128,,
"AVDMPRVM","Preventable mortality","TXCMHOTH","Deaths per 100 000 males (standardised rates)","NLD","Netherlands","2016","2016",127,,
